1679931057.855356, 33.00 C
1679931058.776185, 33.00 C
1679931059.734372, 33.00 C
1679931060.646262, 33.00 C
1679931061.656450, 33.00 C
1679931062.573503, 33.00 C
1679931063.591790, 33.00 C
1679931064.921284, 33.00 C
1679931065.841242, 33.00 C
1679931066.793927, 33.00 C
1679931067.796609, 33.00 C
1679931068.715362, 33.00 C
1679931069.736724, 34.00 C
1679931070.656461, 33.00 C
1679931071.586929, 33.00 C
1679931072.600224, 34.00 C
1679931073.561624, 33.00 C
1679931075.295364, 34.00 C
1679931075.556174, 37.00 C
1679931076.702326, 37.00 C
1679931077.558282, 39.00 C
1679931078.595999, 38.00 C
1679931080.084096, 38.00 C
1679931080.586512, 39.00 C
1679931081.556627, 38.00 C
1679931082.647389, 37.00 C
1679931083.886388, 38.00 C
1679931084.690431, 38.00 C
1679931085.612739, 39.00 C
1679931086.641751, 38.00 C
1679931087.556261, 37.00 C
1679931088.613477, 37.00 C
1679931090.108925, 37.00 C
1679931090.834941, 37.00 C
1679931091.758407, 37.00 C
1679931092.678564, 37.00 C
1679931094.604596, 37.00 C
1679931094.829967, 37.00 C
1679931095.882963, 36.00 C
1679931096.597060, 36.00 C
1679931097.826257, 36.00 C
1679931098.559211, 36.00 C
1679931099.741726, 36.00 C
1679931100.668823, 36.00 C
1679931101.591118, 36.00 C
1679931102.606756, 36.00 C
1679931103.626963, 36.00 C
1679931104.662502, 35.00 C
